130	136	17680	18
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"Al2O3 WT%"	"CaO WT%"	"TiO2 WT%"	"K2O WT%"	"P2O5 WT%"	"FeO WT%"	"MnO WT%"	"Na2O WT%"	"MgO WT%"	"O WT%"	"Total"
0	-20.3155	5.2285	106	2	236	 65.6919	 13.4443	 2.89489	 1.40318	 4.08620	 1.77662	 5.75374	 .173861	 1.12771	 1.33770	 .000000	 97.6901
0	-20.315	5.2285	107	2	237	 69.5992	 13.1048	 1.67788	 1.40871	 4.67855	 .966696	 5.17681	 .081245	 .854739	 .804266	 .000000	 98.3528
0	-20.3145	5.2285	108	2	238	 70.5054	 14.3190	 2.26150	 1.29198	 4.57968	 1.00746	 4.94836	 .119323	 .934257	 1.07491	 .000000	 101.042
0	-20.314	5.2285	109	2	239	 70.7835	 13.6417	 1.93952	 1.23188	 4.39210	 .639457	 5.05477	 .157021	 1.06712	 1.05450	 .000000	 99.9616
0	-20.3135	5.2285	110	2	240	 71.6013	 14.4888	 1.91686	 1.55670	 4.37242	 .803055	 5.47778	 .100101	 .937820	 .941309	 .000000	 102.196
0	-20.313	5.2285	111	2	241	 70.7995	 14.0171	 1.69727	 1.55841	 4.43175	 .680375	 5.08940	 .138137	 .984992	 1.01979	 .000000	 100.417
0	-20.3125	5.2285	112	2	242	 70.7876	 12.9896	 1.96071	 1.02346	 4.57237	 .721450	 5.19633	 .062712	 1.23369	 .772548	 .000000	 99.3204
0	-20.312	5.2285	113	2	243	 70.4972	 13.7912	 1.73838	 1.08137	 4.65096	 .639071	 5.44222	 .100081	 1.08617	 .862891	 .000000	 99.8895
0	-20.3115	5.2285	114	2	244	 70.1027	 14.2252	 1.73822	 .992323	 4.49432	 1.13178	 5.45990	 .137831	 1.05274	 .885177	 .000000	 100.220
0	-20.311	5.2285	115	2	245	 70.4404	 14.1629	 1.73939	 .784272	 4.78169	 .762315	 5.45978	 .175401	 1.05194	 1.06663	 .000000	 100.425
0	-20.3105	5.2285	116	2	246	 71.3515	 13.6232	 1.92182	 1.11480	 4.66508	 .927234	 4.86165	 .082021	 .966157	 .847920	 .000000	 100.361
0	-20.31	5.2285	117	2	247	 69.5831	 13.6366	 1.97806	 1.19889	 4.58989	 1.04806	 5.47556	 .193729	 .790437	 .782402	 .000000	 99.2767
0	-20.3095	5.2285	118	2	248	 70.1058	 14.0195	 2.09905	 1.23024	 4.50570	 .679557	 5.33570	 .118866	 1.03668	 .919459	 .000000	 100.051
0	-20.309	5.2285	119	2	249	 68.0313	 14.2780	 2.21924	 1.26000	 4.43016	 .720050	 5.29989	 -.01297	 .837957	 .917720	 .000000	 97.9813
0	-20.3085	5.2285	120	2	250	 70.2542	 13.8640	 2.19818	 1.34845	 4.41343	 .515177	 5.35252	 .193996	 1.10412	 .943623	 .000000	 100.188
0	-20.308	5.2285	121	2	251	 69.0063	 12.4737	 2.25907	 1.37830	 4.50188	 .678717	 5.37051	 -.01325	 1.08915	 .922044	 .000000	 97.6664
0	-20.3075	5.2285	122	2	252	 69.1505	 14.0243	 2.15924	 1.31954	 4.61051	 .965656	 5.12229	 .212937	 .953786	 .895885	 .000000	 99.4147
0	-20.307	5.2285	123	2	253	 69.8358	 14.1868	 1.75694	 1.46879	 4.35674	 .433768	 5.21232	 .081574	 1.26625	 .932106	 .000000	 99.5311
0	-20.3065	5.2285	124	2	254	 68.7243	 12.6212	 1.89969	 1.11259	 4.46988	 .967292	 4.96488	 .175671	 1.13473	 .886115	 .000000	 96.9563
0	-20.306	5.2285	125	2	255	 68.4616	 13.5634	 2.56535	 .755564	 4.75635	 .801963	 5.14221	 -.01294	 .687943	 .961001	 .000000	 97.6825
0	-20.3055	5.2285	126	2	256	 65.4239	 13.6473	 2.64700	 1.33418	 4.27393	 .878318	 7.28098	 .190321	 1.05752	 1.00225	 .000000	 97.7357
0	-20.305	5.2285	127	2	257	 62.6194	 13.2857	 4.21934	 .915652	 3.76455	 1.15839	 7.99913	 .095014	 1.33798	 1.19737	 .000000	 96.5925
0	-20.3045	5.2285	128	2	258	 66.1576	 13.9650	 3.84817	 1.00993	 4.10920	 1.40540	 7.33591	 .152871	 1.49512	 1.16795	 .000000	 100.647
0	-20.304	5.2285	129	2	259	 68.3118	 12.4381	 2.37727	 1.22645	 4.60301	 .800133	 5.84401	 .061331	 1.55935	 .963455	 .000000	 98.1850
0	-20.3035	5.2285	130	2	260	 68.1656	 13.7684	 1.79725	 .990669	 4.62388	 .761187	 5.49166	 .231395	 1.36981	 .844044	 .000000	 98.0440
0	-20.368	5.229	1	3	261	 63.0609	 22.9366	 5.92672	 .088808	 1.43337	 .147416	 1.20762	 -.02576	 7.17887	 .066333	 .000000	 102.021
0	-20.3675	5.229	2	3	262	 65.9466	 22.9043	 4.98224	 .477825	 1.67585	 .147862	 1.19026	 .068808	 6.77456	 .203071	 .000000	 104.371
0	-20.367	5.229	3	3	263	 66.8322	 21.1927	 4.49898	 .533698	 2.37127	 .147287	 2.00294	 -.00781	 6.36987	 .225776	 .000000	 104.167
0	-20.3665	5.229	4	3	264	 67.6083	 17.4263	 3.57138	 1.12480	 3.18132	 .392877	 2.76136	 .028331	 4.83008	 .590072	 .000000	 101.515
0	-20.366	5.229	5	3	265	 68.6123	 15.7907	 2.46426	 1.08689	 3.98100	 .761533	 4.04923	 .139351	 2.81633	 .594266	 .000000	 100.296
0	-20.3655	5.229	6	3	266	 70.5880	 14.2983	 1.87855	 1.76465	 4.78256	 .800430	 4.75290	 .175422	 1.88886	 .808218	 .000000	 101.738
0	-20.365	5.229	7	3	267	 69.7364	 14.1805	 1.69684	 2.03210	 4.49151	 .760200	 4.55855	 .213182	 1.46105	 .736940	 .000000	 99.8673
0	-20.3645	5.229	8	3	268	 69.4067	 14.9805	 1.61770	 1.58634	 4.55067	 .760875	 4.89530	 .062738	 1.24647	 .723784	 .000000	 99.8310
0	-20.364	5.229	9	3	269	 69.4168	 13.5253	 1.71977	 1.52869	 4.61955	 1.00678	 4.63142	 .044066	 1.03177	 .869333	 .000000	 98.3935
0	-20.3635	5.229	10	3	270	 69.8024	 13.8088	 2.14049	 1.49764	 4.44574	 .965219	 4.87843	 .062510	 .852535	 .925730	 .000000	 99.3795
0	-20.363	5.229	11	3	271	 69.2555	 14.2633	 1.75826	 1.64397	 5.01279	 .513744	 4.92825	 .174812	 .870068	 .699695	 .000000	 99.1203
0	-20.3625	5.229	12	3	272	 69.6693	 13.6272	 1.61875	 1.76594	 4.81536	 .555745	 4.70161	 -.03136	 .884224	 .766625	 .000000	 98.3733
0	-20.362	5.229	13	3	273	 67.4969	 14.6792	 1.83651	 1.73164	 4.58811	 .554656	 5.12195	 .080671	 .771984	 .733886	 .000000	 97.5955
0	-20.3615	5.229	14	3	274	 68.6767	 14.2019	 2.25925	 1.58609	 4.25143	 .882837	 4.71745	 .231688	 1.08416	 .701204	 .000000	 98.5928
0	-20.361	5.229	15	3	275	 71.0941	 14.1719	 2.04178	 1.23078	 4.65699	 .679270	 4.82574	 .175499	 .818691	 .641915	 .000000	 100.337
0	-20.3605	5.229	16	3	276	 68.4506	 14.1277	 1.97735	 1.61246	 4.72730	 .636182	 5.13899	 .230818	 .872278	 .826043	 .000000	 98.5997
0	-20.36	5.229	17	3	277	 69.2635	 14.6176	 2.39856	 1.52368	 4.50005	 .840755	 5.35225	 .118049	 .839942	 .599107	 .000000	 100.053
0	-20.3595	5.229	18	3	278	 70.0741	 14.0699	 2.30038	 1.43553	 4.88953	 .554365	 5.28227	 .080529	 .905109	 .814651	 .000000	 100.406
0	-20.359	5.229	19	3	279	 70.9800	 14.7844	 2.35826	 1.46339	 4.67413	 .390715	 5.54623	 .211831	 1.02312	 .645928	 .000000	 102.078
0	-20.3585	5.229	20	3	280	 68.1099	 13.6433	 1.67797	 1.52643	 4.55428	 .268667	 4.82370	 .100028	 .951645	 .813655	 .000000	 96.4696
0	-20.358	5.229	21	3	281	 69.2671	 14.2946	 2.03894	 1.76396	 4.80183	 .513761	 4.92914	 .043366	 .952520	 .734370	 .000000	 99.3397
0	-20.3575	5.229	22	3	282	 68.3721	 14.5541	 2.10007	 1.79640	 4.62309	 .596021	 4.41730	 .119176	 1.04790	 .733321	 .000000	 98.3595
0	-20.357	5.229	23	3	283	 68.5402	 14.3205	 1.99931	 1.61594	 4.67430	 .718858	 4.84107	 .062331	 .902381	 .620523	 .000000	 98.2954
0	-20.3565	5.229	24	3	284	 68.6191	 14.3036	 1.93658	 1.61183	 4.64875	 .472753	 5.45755	 .061573	 .773861	 .735299	 .000000	 98.6209
0	-20.356	5.229	25	3	285	 70.7820	 14.3982	 1.63868	 1.34849	 4.79916	 .515143	 5.10767	 .081318	 1.03383	 .779820	 .000000	 100.484
0	-20.3555	5.229	26	3	286	 69.5836	 14.4786	 1.91878	 1.58507	 4.87699	 .554964	 5.08818	 .099693	 .671419	 1.07196	 .000000	 99.9293
0	-20.355	5.229	27	3	287	 71.3007	 13.7891	 1.85725	 1.46472	 4.43526	 .638107	 5.58455	 .043172	 .773584	 .780696	 .000000	 100.667
0	-20.3545	5.229	28	3	288	 70.9908	 13.8041	 1.75904	 1.07972	 4.72513	 .843189	 5.37215	 .174942	 .937567	 .735421	 .000000	 100.422
0	-20.354	5.229	29	3	289	 69.0145	 14.8406	 1.67555	 1.82095	 4.58468	 .678013	 5.33481	 .024454	 .937613	 .860237	 .000000	 99.7714
0	-20.3535	5.229	30	3	290	 68.6482	 14.1898	 2.00064	 1.82727	 4.78827	 1.00519	 4.34712	 .081671	 .882694	 .844923	 .000000	 98.6157
0	-20.353	5.229	31	3	291	 69.7746	 14.0715	 1.90224	 1.44143	 4.90585	 1.08833	 4.49018	 .006592	 .964230	 .743444	 .000000	 99.3884
0	-20.3525	5.229	32	3	292	 68.6866	 13.3898	 2.78388	 1.16922	 4.68539	 2.50968	 5.22983	 .061776	 .574009	 1.01698	 .000000	 100.107
